 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22
2413,20.053,13.885,17.021,13.488,14.081,21.395,24.239,25.380,24.826,22.473,33.278,33.456,29.759,24.449,25.213,24.982,23.907,21.889,33.466,23.390,25.077,21.496
2414,20.058,13.896,17.009,13.506,14.074,21.406,24.228,25.383,24.794,22.497,33.331,33.446,29.725,24.460,25.225,25.017,23.924,21.865,33.466,23.404,25.057,21.505
2415,20.047,13.914,16.968,13.496,14.082,21.394,24.247,25.381,24.821,22.431,33.310,33.452,29.719,24.461,25.198,24.992,23.943,21.828,33.475,23.343,25.073,21.499
2416,20.040,13.916,16.960,13.473,14.025,21.358,24.232,25.355,24.831,22.439,33.299,33.444,29.729,24.441,25.196,24.958,23.938,21.846,33.419,23.370,25.017,21.489
2417,20.038,13.891,16.967,13.512,14.078,21.381,24.227,25.364,24.806,22.448,33.304,33.434,29.731,24.439,25.182,24.973,23.921,21.844,33.456,23.367,25.045,21.502
2418,20.064,13.914,16.938,13.528,14.115,21.423,24.263,25.371,24.902,22.497,33.329,33.468,29.792,24.486,25.211,25.013,23.904,21.855,33.466,23.391,25.077,21.523
2419,20.052,13.947,17.017,13.509,14.081,21.372,24.223,25.365,24.771,22.451,33.306,33.436,29.717,24.448,25.209,25.001,23.962,21.842,33.385,23.370,25.046,21.495
2420,20.056,13.927,16.986,13.519,14.097,21.383,24.255,25.374,24.806,22.459,33.321,33.448,29.747,24.470,25.269,24.980,23.937,21.870,33.434,23.349,25.081,21.506
2421,20.049,13.887,17.008,13.520,14.069,21.365,24.221,25.421,24.773,22.439,33.331,33.427,29.737,24.450,25.190,24.992,23.951,21.903,33.476,23.343,25.064,21.505
2422,20.037,13.873,16.977,13.505,14.078,21.297,24.225,25.351,24.820,22.467,33.294,33.476,29.747,24.475,25.178,24.983,23.901,21.941,33.448,23.397,25.049,21.512
2423,20.063,13.938,16.993,13.527,14.068,21.361,24.262,25.413,24.873,22.459,33.329,33.477,29.775,24.456,25.195,25.001,23.918,21.922,33.485,23.404,25.063,21.517
2424,20.077,13.885,16.998,13.545,14.127,21.352,24.258,25.420,24.853,22.479,33.357,33.493,29.782,24.483,25.219,25.009,23.935,21.938,33.530,23.416,25.096,21.525
