# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
5.21122,420.22222,424.44444,430.40000,317.87500,354.62500,668.57143,1033.11111,1046.88889,964.00000
5.22314,420.55556,424.44444,429.20000,318.25000,353.87500,668.00000,1032.22222,1046.66667,961.30000
5.23506,421.00000,424.66667,428.30000,318.50000,353.25000,667.42857,1031.66667,1045.66667,958.50000
5.24699,421.22222,424.55556,427.40000,318.62500,352.87500,666.42857,1031.00000,1043.88889,955.80000
5.25891,421.33333,424.44444,427.00000,319.00000,352.37500,665.00000,1030.44444,1041.66667,953.20000
5.27084,421.55556,424.22222,426.70000,319.00000,351.87500,663.42857,1030.33333,1039.22222,951.00000
5.28276,421.11111,424.11111,426.70000,319.12500,351.37500,661.42857,1030.11111,1036.66667,949.10000
5.29468,420.77778,423.88889,426.80000,319.25000,350.75000,659.42857,1030.22222,1034.33333,947.70000
5.30661,420.11111,423.55556,427.30000,319.00000,350.00000,657.42857,1030.33333,1031.88889,947.00000
5.31853,419.66667,423.44444,427.90000,319.00000,349.25000,655.85714,1030.88889,1030.22222,946.70000
5.33046,418.88889,423.33333,428.30000,318.37500,348.50000,654.57143,1031.44444,1029.33333,947.00000
5.34238,418.11111,423.44444,428.90000,318.37500,347.62500,653.85714,1032.00000,1029.11111,947.70000
5.35430,417.33333,423.55556,429.10000,318.12500,346.87500,653.57143,1033.00000,1029.11111,948.80000
5.36623,416.77778,423.88889,429.20000,317.37500,346.25000,653.57143,1033.77778,1030.33333,950.10000
5.37815,416.33333,424.33333,429.30000,317.12500,346.00000,653.71429,1034.55556,1031.88889,951.80000
5.39008,416.11111,424.88889,429.10000,316.62500,345.87500,654.57143,1035.33333,1033.77778,953.40000
5.40200,416.22222,425.55556,428.80000,316.00000,346.12500,655.42857,1035.77778,1035.66667,954.70000
5.41392,416.33333,426.11111,428.70000,315.50000,346.25000,655.71429,1036.00000,1037.22222,956.10000
5.42585,416.66667,427.00000,428.30000,314.75000,346.25000,655.85714,1036.33333,1038.55556,957.30000
5.43777,417.11111,427.77778,428.00000,314.00000,346.50000,655.42857,1036.00000,1039.11111,957.80000
5.44970,417.66667,428.11111,427.80000,313.12500,347.00000,654.57143,1035.88889,1039.11111,958.50000
5.46162,418.33333,428.88889,427.90000,312.50000,346.87500,653.71429,1035.33333,1038.22222,958.50000
