time, dGoR #1, dGoR #2, dGoR #3, dGoR #4, dGoR #5, dGoR #6, dGoR #7, dGoR #8, dGoR #9, dGoR #10, dGoR #11, dGoR #12, dGoR #13, dGoR #14, dGoR #15, average
3.60149, 0.41291, 0.39804, 0.37804, 0.40153, 0.36657, 0.39174, 0.42096, 0.33005, 0.34221, 0.32218, 0.32777, 0.43596, 0.39356, 0.34717, 0.37956, 0.37655, 
3.61341, 0.40217, 0.48964, 0.40632, 0.48189, 0.37765, 0.35600, 0.34363, 0.30127, 0.33157, 0.34676, 0.39581, 0.38069, 0.35451, 0.31169, 0.39475, 0.37829, 
3.62534, 0.36571, 0.44935, 0.38986, 0.36182, 0.48803, 0.37524, 0.40593, 0.35180, 0.34084, 0.38592, 0.28766, 0.39279, 0.41418, 0.30027, 0.39791, 0.38049, 
3.63726, 0.39226, 0.40114, 0.38379, 0.38245, 0.46458, 0.42537, 0.44611, 0.38660, 0.39694, 0.37799, 0.31059, 0.37466, 0.45797, 0.32864, 0.34119, 0.39135, 
3.64919, 0.45065, 0.38473, 0.39554, 0.34447, 0.40026, 0.40609, 0.36503, 0.33293, 0.31901, 0.34186, 0.35123, 0.37983, 0.41715, 0.41800, 0.34430, 0.37674, 
3.66111, 0.38913, 0.36187, 0.40857, 0.41695, 0.42819, 0.38321, 0.30229, 0.35677, 0.34932, 0.39945, 0.31456, 0.32298, 0.40300, 0.30008, 0.32355, 0.36399, 
3.67303, 0.37487, 0.37175, 0.36383, 0.46690, 0.40969, 0.39079, 0.37037, 0.34400, 0.36628, 0.41679, 0.33799, 0.34911, 0.46584, 0.39546, 0.34136, 0.38434, 
3.68496, 0.39947, 0.45886, 0.48757, 0.40412, 0.47199, 0.42225, 0.31981, 0.29786, 0.32433, 0.33124, 0.38017, 0.36470, 0.40385, 0.27113, 0.39702, 0.38229, 
3.69688, 0.38076, 0.37859, 0.44177, 0.36738, 0.40058, 0.38756, 0.40530, 0.30851, 0.36314, 0.32962, 0.39857, 0.44297, 0.39091, 0.31035, 0.36614, 0.37814, 
3.70881, 0.37982, 0.38520, 0.36349, 0.41228, 0.41985, 0.35343, 0.36308, 0.34936, 0.33186, 0.34911, 0.31347, 0.40883, 0.44879, 0.40051, 0.36287, 0.37613, 
3.72073, 0.36483, 0.43331, 0.36806, 0.42194, 0.44417, 0.32374, 0.41820, 0.32240, 0.37229, 0.29160, 0.32004, 0.34237, 0.37396, 0.34497, 0.40508, 0.36980, 
3.73265, 0.35049, 0.47560, 0.39802, 0.39230, 0.38541, 0.46164, 0.41356, 0.34792, 0.44358, 0.34598, 0.34398, 0.36701, 0.34788, 0.35415, 0.37264, 0.38668, 
3.74458, 0.35248, 0.37719, 0.39969, 0.42638, 0.43209, 0.37931, 0.30117, 0.34032, 0.35456, 0.36243, 0.30833, 0.38850, 0.37286, 0.34828, 0.36757, 0.36741, 
3.75650, 0.39564, 0.42124, 0.44424, 0.40198, 0.47292, 0.36551, 0.37030, 0.32161, 0.33174, 0.39813, 0.33095, 0.40512, 0.38037, 0.36548, 0.38344, 0.38591, 
3.76843, 0.35187, 0.38118, 0.39835, 0.36972, 0.40816, 0.40606, 0.37865, 0.32141, 0.36322, 0.37661, 0.40169, 0.38837, 0.36509, 0.31169, 0.44838, 0.37803, 
3.78035, 0.38424, 0.47109, 0.39007, 0.40300, 0.39943, 0.43996, 0.36546, 0.36598, 0.35339, 0.34354, 0.36346, 0.37148, 0.35139, 0.35194, 0.39243, 0.38312, 
3.79227, 0.48344, 0.41226, 0.40657, 0.43163, 0.37859, 0.36692, 0.36076, 0.27933, 0.38757, 0.38228, 0.33183, 0.40820, 0.37440, 0.29854, 0.31919, 0.37477, 
3.80420, 0.40144, 0.44212, 0.42466, 0.40107, 0.40220, 0.39497, 0.36419, 0.31691, 0.37833, 0.34188, 0.33249, 0.37634, 0.35210, 0.32086, 0.37075, 0.37469, 
3.81612, 0.43497, 0.46449, 0.40173, 0.38443, 0.41826, 0.37072, 0.41785, 0.33937, 0.36406, 0.38606, 0.30631, 0.39923, 0.40296, 0.31652, 0.40758, 0.38764, 
3.82804, 0.37515, 0.36826, 0.44606, 0.38529, 0.41114, 0.34348, 0.40132, 0.37416, 0.37431, 0.40976, 0.37281, 0.37913, 0.40215, 0.32313, 0.44782, 0.38760, 
3.83997, 0.38178, 0.43188, 0.40911, 0.38242, 0.54646, 0.35769, 0.41274, 0.34256, 0.32272, 0.38860, 0.37061, 0.32512, 0.32304, 0.36080, 0.34238, 0.37986, 
3.85189, 0.45050, 0.40880, 0.40930, 0.39837, 0.37518, 0.37833, 0.42860, 0.35993, 0.36519, 0.34084, 0.36053, 0.34674, 0.37132, 0.31023, 0.39760, 0.38010, 
3.86382, 0.34093, 0.43371, 0.41778, 0.43307, 0.39559, 0.36080, 0.39409, 0.37157, 0.38519, 0.36337, 0.32280, 0.34306, 0.42323, 0.33295, 0.59634, 0.39430, 
3.87574, 0.38364, 0.41781, 0.41222, 0.41678, 0.39562, 0.33625, 0.34697, 0.28172, 0.35169, 0.35186, 0.32688, 0.35752, 0.35828, 0.36632, 0.37881, 0.36549, 
